leader,follower,lag_days,train_events,train_success_rate,train_average_return,train_baseline_rate,train_uplift,test_events,test_success_rate,test_average_return,test_median_return,test_baseline_rate,test_uplift,relationship_score
ASUZU,DGNMO,4,22,22.73,0.67,13.75,8.98,4,50.0,2.86,1.21,14.29,35.71,36.83
YATAS,CRDFA,3,12,25.0,0.44,21.78,3.22,6,50.0,3.52,2.25,22.18,27.82,36.83
GOLTS,NUHCM,1,31,22.58,0.39,12.28,10.3,4,50.0,1.89,1.68,7.88,42.12,36.82
GOLTS,SNGYO,4,32,28.12,0.97,13.29,14.83,4,50.0,0.77,0.24,8.4,41.6,36.82
ISBIR,KRDMB,2,54,5.56,-0.41,10.32,-4.76,7,57.14,3.13,4.19,19.58,37.56,36.82
ENERY,BMSTL,1,29,24.14,0.68,14.99,9.15,11,45.45,2.24,0.66,16.19,29.26,36.82
SEGYO,BURCE,5,41,24.39,0.65,18.29,6.1,19,47.37,2.52,2.54,24.05,23.32,36.82
REEDR,HEDEF,4,23,26.09,1.82,19.84,6.25,16,50.0,1.77,2.72,27.46,22.54,36.82
PLTUR,TUREX,2,45,15.56,-0.98,21.94,-6.38,6,50.0,3.41,3.2,9.58,40.42,36.81
KONKA,TRMET,3,23,13.04,-0.18,14.12,-1.07,7,57.14,1.97,3.28,18.41,38.73,36.81
THYAO,MERIT,4,14,28.57,-1.0,22.62,5.95,4,50.0,2.09,1.96,12.18,37.82,36.81
GOLTS,LIDFA,4,32,21.88,1.0,14.68,7.19,4,50.0,2.96,2.65,12.9,37.1,36.81
AKSA,RUZYE,2,22,13.64,-0.48,14.29,-0.65,6,50.0,4.22,5.62,13.75,36.25,36.81
INDES,NETAS,1,22,22.73,0.98,16.63,6.09,6,50.0,2.89,2.57,17.43,32.57,36.81
GWIND,GESAN,5,12,25.0,1.57,15.37,9.63,4,50.0,2.94,3.39,17.72,32.28,36.81
AYEN,INFO,1,14,21.43,0.86,16.17,5.26,12,50.0,1.64,2.33,21.12,28.88,36.81
BLUME,TMPOL,4,73,19.18,0.52,19.12,0.05,14,50.0,2.84,2.14,23.95,26.05,36.81
AEFES,ANELE,5,23,21.74,1.25,15.57,6.17,6,50.0,4.18,5.06,26.16,23.84,36.81
KLGYO,OZRDN,3,43,20.93,0.82,14.26,6.67,12,50.0,2.6,2.84,28.87,21.13,36.81
RYGYO,TRHOL,2,30,30.0,1.34,26.39,3.61,15,46.67,3.18,2.76,30.83,15.83,36.81
DOHOL,GOKNR,1,9,22.22,-1.21,13.86,8.36,4,50.0,2.34,1.85,9.54,40.46,36.8
YYLGD,INDES,5,13,15.38,1.02,11.98,3.41,6,50.0,3.16,3.66,10.13,39.87,36.8
EKSUN,ONRYT,5,10,10.0,0.41,16.57,-6.57,8,50.0,3.71,2.29,11.34,38.66,36.8
GOZDE,KMPUR,2,21,14.29,-0.11,11.07,3.22,6,50.0,3.58,2.74,12.08,37.92,36.8
GOLTS,MACKO,4,32,21.88,1.13,14.68,7.19,4,50.0,3.08,3.95,13.87,36.13,36.8
MEGMT,ONCSM,3,38,13.16,0.53,13.32,-0.16,18,50.0,2.9,2.34,18.41,31.59,36.8
KONTR,PASEU,5,23,13.04,0.0,17.87,-4.82,23,52.17,3.38,3.01,27.85,24.33,36.8
KAYSE,MEKAG,1,8,12.5,1.36,18.28,-5.78,8,50.0,3.78,3.92,14.4,35.6,36.79
AZTEK,KRONT,5,49,20.41,0.52,19.28,1.12,12,50.0,1.89,2.32,18.99,31.01,36.79
EGEPO,EUPWR,2,44,18.18,-0.47,13.04,5.14,8,50.0,3.31,3.54,20.42,29.58,36.79
AKBNK,DMRGD,5,22,22.73,0.31,14.4,8.33,8,50.0,2.53,3.22,21.52,28.48,36.79
SAYAS,ANELE,5,43,23.26,0.18,15.57,7.69,17,47.06,2.89,2.46,26.16,20.9,36.79
HRKET,HEDEF,1,19,31.58,2.05,19.72,11.86,15,46.67,1.74,2.98,27.94,18.73,36.79
GOLTS,RUZYE,4,32,15.62,-0.35,14.34,1.28,4,50.0,4.49,4.45,13.87,36.13,36.78
GRSEL,GZNMI,1,44,29.55,1.26,18.42,11.13,8,50.0,1.12,0.13,19.92,30.08,36.78
AYEN,KAPLM,5,14,14.29,1.51,18.76,-4.48,12,50.0,3.15,3.07,21.52,28.48,36.78
TSPOR,YAPRK,2,32,9.38,-1.07,20.55,-11.18,8,50.0,3.65,2.28,10.42,39.58,36.77
BEGYO,KMPUR,5,31,6.45,0.02,10.93,-4.48,4,50.0,5.56,6.09,11.81,38.19,36.77
GWIND,ADEL,1,13,15.38,-1.18,16.96,-1.58,4,50.0,4.79,3.79,14.94,35.06,36.77
LILAK,CRDFA,1,17,23.53,-0.15,21.7,1.83,9,55.56,0.81,3.1,22.41,33.15,36.77
GLCVY,BIGTK,1,35,20.0,0.16,24.55,-4.55,8,50.0,3.39,2.86,19.09,30.91,36.77
VESTL,INVES,2,9,22.22,-1.2,12.86,9.36,6,50.0,2.84,2.35,19.17,30.83,36.77
GSDHO,PRZMA,3,9,11.11,-0.54,14.46,-3.34,11,54.55,2.77,4.08,25.52,29.02,36.77
LIDFA,FORTE,5,17,17.65,0.67,13.67,3.97,13,46.15,3.15,1.76,17.3,28.85,36.77
SNPAM,PASEU,3,35,17.14,0.65,17.87,-0.72,9,55.56,2.54,3.8,27.62,27.94,36.77
SDTTR,TRHOL,2,32,21.88,0.15,26.39,-4.51,18,50.0,3.37,3.06,30.83,19.17,36.77
BRYAT,KTLEV,3,19,31.58,0.94,20.8,10.78,11,45.45,2.67,2.76,28.34,17.11,36.77
SOKE,ISMEN,1,15,20.0,0.01,15.45,4.55,8,50.0,1.38,1.87,7.47,42.53,36.76
NTHOL,DYOBY,5,27,18.52,0.42,16.9,1.62,4,50.0,3.56,1.98,10.13,39.87,36.76
AZTEK,MERCN,5,49,20.41,0.72,18.36,2.04,12,50.0,1.33,2.63,15.61,34.39,36.76
YBTAS,ISKPL,5,59,18.64,0.61,18.29,0.35,10,50.0,2.91,1.7,19.41,30.59,36.76
TRCAS,ARDYZ,1,36,25.0,0.75,19.01,5.99,6,50.0,3.12,2.34,21.58,28.42,36.76
TUPRS,YKSLN,3,8,12.5,-0.01,12.48,0.02,8,50.0,3.28,2.43,10.88,39.12,36.75
YYLGD,PRKAB,5,13,15.38,1.46,12.77,2.61,6,50.0,3.54,2.09,12.66,37.34,36.75
HRKET,PAGYO,4,19,15.79,0.63,11.16,4.63,15,46.67,2.5,2.49,12.61,34.06,36.75
FORTE,ALGYO,4,14,21.43,0.58,9.92,11.51,14,50.0,0.85,1.91,20.17,29.83,36.75
VESBE,KERVN,4,16,25.0,1.16,17.33,7.67,4,50.0,4.26,3.9,26.47,23.53,36.75
BRISA,TSPOR,4,21,4.76,-0.87,11.95,-7.19,4,50.0,5.2,4.98,7.56,42.44,36.74
ISSEN,FZLGY,5,8,12.5,0.77,17.6,-5.1,7,57.14,1.51,3.4,14.77,42.37,36.74
ASUZU,LUKSK,5,22,27.27,0.46,17.17,10.11,4,50.0,1.64,1.19,10.97,39.03,36.74
LOGO,ONRYT,1,16,18.75,0.17,16.57,2.18,4,50.0,3.65,3.26,11.55,38.45,36.74
PENTA,LINK,2,18,27.78,1.33,23.72,4.06,6,50.0,2.16,1.31,15.83,34.17,36.74
EGPRO,ASTOR,5,30,6.67,-0.84,12.57,-5.91,11,54.55,2.92,3.07,22.36,32.18,36.74
KMPUR,OZRDN,1,11,9.09,0.09,14.4,-5.31,14,57.14,2.15,3.9,28.63,28.51,36.74
ESCOM,GUNDG,3,17,23.53,-0.52,17.0,6.53,23,52.17,2.83,3.06,39.42,12.75,36.74
EKSUN,HEKTS,1,16,6.25,0.14,9.11,-2.86,7,57.14,1.97,3.15,12.03,45.11,36.73
EDIP,KORDS,4,55,10.91,0.38,7.94,2.97,12,50.0,2.35,2.53,14.63,35.37,36.73
ECILC,ODAS,5,22,13.64,0.49,9.78,3.86,13,46.15,3.05,2.57,12.66,33.5,36.73
KORDS,VBTYZ,4,15,20.0,1.18,14.54,5.46,14,50.0,1.46,1.84,18.91,31.09,36.73
AKCNS,PRZMA,2,18,5.56,-2.82,14.43,-8.87,9,55.56,3.76,4.08,25.42,30.14,36.73
KUYAS,HDFGS,2,53,13.21,-0.11,14.09,-0.88,16,50.0,3.17,2.06,20.83,29.17,36.73
LYDHO,ONCSM,2,63,19.05,0.8,13.29,5.75,17,47.06,2.56,1.7,18.33,28.73,36.73
TKNSA,TRHOL,4,35,14.29,0.17,26.29,-12.01,11,54.55,3.06,3.64,31.09,23.45,36.73
SUNTK,GUNDG,4,25,24.0,1.19,17.0,7.0,21,52.38,2.66,3.1,39.58,12.8,36.73
PETUN,MHRGY,1,15,13.33,0.37,10.93,2.4,4,50.0,4.02,3.75,9.16,40.84,36.72
BANVT,KRDMB,1,48,4.17,-0.26,10.3,-6.13,5,60.0,2.86,3.44,19.5,40.5,36.72
BRISA,KLGYO,2,19,21.05,0.64,16.07,4.98,4,50.0,2.95,1.43,10.83,39.17,36.72
YIGIT,KATMR,5,23,17.39,-0.69,16.17,1.22,6,50.0,3.17,2.12,10.97,39.03,36.72
MARBL,SEGMN,2,17,5.88,0.39,10.71,-4.83,7,57.14,3.0,3.19,19.42,37.72,36.72
TGSAS,OBAMS,2,52,17.31,0.75,14.4,2.91,16,50.0,1.31,3.1,13.22,36.78,36.72
LMKDC,DGNMO,4,25,20.0,0.88,13.75,6.25,6,50.0,2.76,1.96,14.29,35.71,36.72
TMSN,MRGYO,1,33,27.27,0.85,19.13,8.14,4,50.0,2.3,2.81,14.52,35.48,36.72
ASUZU,KONTR,5,22,18.18,0.86,14.71,3.47,4,50.0,4.18,4.03,16.03,33.97,36.72
ISCTR,PATEK,5,9,33.33,0.28,23.94,9.39,4,50.0,1.83,2.05,17.99,32.01,36.72
IZENR,DOGUB,1,36,16.67,-0.12,16.63,0.03,10,60.0,1.18,3.12,31.95,28.05,36.72
BARMA,PASEU,1,15,20.0,0.43,17.87,2.13,11,54.55,1.64,3.99,27.8,26.74,36.72
KLGYO,ATATP,1,43,16.28,-0.12,19.8,-3.52,12,50.0,3.13,2.22,23.65,26.35,36.72
DGGYO,CELHA,3,30,20.0,0.9,15.51,4.49,13,46.15,3.4,2.51,22.18,23.98,36.72
BINHO,BURVA,4,33,18.18,0.98,17.93,0.25,17,52.94,3.21,3.68,34.45,18.49,36.72
PENTA,TRMET,4,18,5.56,-0.12,13.94,-8.39,5,60.0,2.53,3.85,18.49,41.51,36.71
PLTUR,MOGAN,5,30,10.0,0.04,7.71,2.29,7,57.14,1.97,3.91,17.57,39.57,36.71
ENJSA,SELEC,2,12,25.0,0.61,12.5,12.5,4,50.0,2.67,3.0,18.33,31.67,36.71
LYDHO,TERA,5,63,22.22,0.46,24.85,-2.63,17,47.06,2.79,1.89,18.99,28.07,36.71
DAGI,OZATD,1,38,15.79,-0.09,16.98,-1.19,14,50.0,3.05,2.49,22.63,27.37,36.71
ENKAI,KRVGD,2,14,21.43,0.64,10.87,10.56,4,50.0,2.22,1.83,10.0,40.0,36.7
PETUN,CEMAS,1,18,22.22,-0.77,18.22,4.0,4,50.0,2.82,2.22,10.37,39.63,36.7
SOKE,GUBRF,4,15,13.33,0.24,13.75,-0.41,9,55.56,1.56,3.06,16.81,38.75,36.7
VKGYO,LINK,3,19,31.58,0.41,23.76,7.82,6,50.0,1.26,2.14,15.9,34.1,36.7
BFREN,PASEU,3,18,11.11,1.04,17.87,-6.76,5,60.0,3.0,3.99,27.62,32.38,36.7
LUKSK,PSGYO,3,49,16.33,0.44,16.83,-0.51,10,50.0,3.13,2.87,18.83,31.17,36.7
PAPIL,CVKMD,3,81,19.75,0.53,18.61,1.14,11,54.55,1.23,3.09,23.85,30.7,36.7
YBTAS,OZRDN,3,60,20.0,0.49,14.26,5.74,10,50.0,3.41,2.89,28.87,21.13,36.7
BTCIM,MANAS,2,35,25.71,-1.15,21.74,3.98,12,50.0,2.64,3.07,32.5,17.5,36.7
NATEN,ISSEN,4,40,7.5,0.3,5.75,1.75,4,50.0,4.46,3.68,6.3,43.7,36.69
ISBIR,AKGRT,5,54,16.67,-0.1,13.37,3.29,8,50.0,1.98,2.1,8.02,41.98,36.69
THYAO,LIDFA,5,14,21.43,0.67,14.71,6.72,4,50.0,2.94,2.66,12.55,37.45,36.69
DARDL,GATEG,1,33,33.33,0.26,27.52,5.81,4,50.0,1.98,2.24,16.6,33.4,36.69
PEKGY,LYDHO,5,68,26.47,1.24,20.96,5.51,15,46.67,1.07,-0.49,13.5,33.16,36.69
RAYSG,ESCOM,4,51,17.65,-0.64,18.45,-0.81,4,50.0,5.13,4.1,20.17,29.83,36.69
GRSEL,CVKMD,2,44,22.73,1.33,18.58,4.15,8,50.0,3.18,3.01,23.75,26.25,36.69
ONRYT,PRZMA,1,29,20.69,-0.29,14.4,6.29,10,50.0,2.78,2.52,25.31,24.69,36.69
BRYAT,ARDYZ,3,37,24.32,-0.09,19.09,5.24,11,45.45,3.26,2.53,21.76,23.7,36.69
YUNSA,DOGUB,2,24,16.67,-0.51,16.67,0.0,13,53.85,2.77,5.32,32.08,21.76,36.69
OTKAR,KORDS,3,22,9.09,-0.09,8.12,0.97,10,50.0,3.42,2.66,14.57,35.43,36.68
SMRTG,KTSKR,2,23,17.39,1.02,11.07,6.32,13,46.15,2.36,1.39,13.33,32.82,36.68
SASA,YEOTK,2,27,14.81,-1.19,16.4,-1.59,12,50.0,2.78,2.61,19.76,30.24,36.68
AKMGY,CRFSA,5,44,18.18,-0.19,12.38,5.81,12,50.0,2.04,2.11,21.94,28.06,36.68
ENJSA,ANELE,1,13,23.08,0.82,15.45,7.63,4,50.0,4.43,4.58,26.14,23.86,36.68
GUBRF,OZRDN,3,29,24.14,0.85,14.26,9.88,10,50.0,2.43,3.31,28.87,21.13,36.68
MNDTR,TUPRS,4,21,4.76,-0.11,6.97,-2.21,5,60.0,1.83,3.18,12.61,47.39,36.67
OZKGY,CATES,1,16,6.25,-0.7,12.53,-6.28,5,60.0,2.09,3.13,16.05,43.95,36.67
BRISA,ISMEN,4,21,14.29,0.15,15.14,-0.85,4,50.0,3.88,2.74,7.56,42.44,36.67
KLSER,ENTRA,1,12,16.67,0.76,10.68,5.98,4,50.0,3.03,2.89,8.03,41.97,36.67
BRISA,BINHO,4,10,20.0,-0.18,16.53,3.47,4,50.0,3.6,3.24,13.75,36.25,36.67
BESLR,HURGZ,1,33,21.21,1.14,15.25,5.96,8,50.0,2.07,1.93,15.35,34.65,36.67
